position,title,placeId,dataId,thumbnail,phone,address,website,workingHours,rating,reviews,type,gpsCoordinates,serviceOptions,description,longitude,latitude,area
11,Forbes Street Market,ChIJGxMRWzrzNIgRhjjnKCh_fUY,0x8834f33a5b11131b:0x467d7f2828e73886,https://lh5.googleusercontent.com/p/AF1QipPoiMs_Lc7pP9YMRkqGA10FA3RRDieaOakKSaiF=w122-h92-k-no,(412) 648-4422,"University of Pittsburgh, Bruce Hall, 3955 Forbes Ave, Pittsburgh, PA 15213",undefined,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '7:30\u202fAM–9\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '7:30\u202fAM–9\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '7:30\u202fAM–9\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '7:30\u202fAM–9\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '7:30\u202fAM–9\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '7:30\u202fAM–9\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '7:30\u202fAM–9\u202fPM', 'date': '2023-10-18'}]}",3.8,11.0,Grocery store,"{'latitude': 40.442977899999995, 'longitude': -79.9550119}","['In-store shopping', 'Delivery']",,-79.9550119,40.442977899999995,Squirrel Hill
12,Market District Supermarket,ChIJS1VVVRDyNIgRZH6zaKD986M,0x8834f2105555554b:0xa3f3fda068b37e64,https://lh5.googleusercontent.com/p/AF1QipOnUghuFCcahNmsX5uXeEpbaYHKiLsO6PbrX9it=w163-h92-k-no,(412) 681-1500,"5550 Centre Ave, Pittsburgh, PA 15232",https://www.marketdistrict.com/store-locator/store-details,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '7\u202fAM–11\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '7\u202fAM–11\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '7\u202fAM–11\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '7\u202fAM–11\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '7\u202fAM–11\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '7\u202fAM–11\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '7\u202fAM–11\u202fPM', 'date': '2023-10-18'}]}",4.3,4854.0,Grocery store,"{'latitude': 40.4565029, 'longitude': -79.9346192}","['Curbside pickup', 'Delivery', 'In-store pickup', 'In-store shopping', 'Same-day delivery']",,-79.9346192,40.4565029,Squirrel Hill
13,Giant Eagle Supermarket,ChIJs5BaEubxNIgRmo3qr4wm8LM,0x8834f1e6125a90b3:0xb3f0268cafea8d9a,https://lh5.googleusercontent.com/p/AF1QipN2of8uKmsniW3WO5MpzJs5fKGsojrq94GgPSiL=w122-h92-k-no,(412) 421-6472,"4250 Murray Ave, Pittsburgh, PA 15217",https://www.gianteagle.com/stores/pa/pittsburgh/greenfield-giant-eagle/63,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '6\u202fAM–9\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '6\u202fAM–9\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '7\u202fAM–9\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '7\u202fAM–9\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '6\u202fAM–9\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '6\u202fAM–9\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '6\u202fAM–9\u202fPM', 'date': '2023-10-18'}]}",4.0,965.0,Grocery store,"{'latitude': 40.422316699999996, 'longitude': -79.92950139999999}","['In-store pickup', 'In-store shopping']",,-79.92950139999999,40.422316699999996,Squirrel Hill
14,Oakhill market,ChIJ5RiVf-LzNIgRAPmWlxHiLVU,0x8834f3e27f9518e5:0x552de2119796f900,https://lh5.googleusercontent.com/p/AF1QipPTMIOs2c-3a7vEL6uvYRyK0ttpjWjr3KIATfpl=w80-h106-k-no,(412) 586-4588,"504 Oak Hill Dr, Pittsburgh, PA 15213",undefined,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '9\u202fAM–10\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '9\u202fAM–10\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '9\u202fAM–10\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '9\u202fAM–10\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '9\u202fAM–10\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '9\u202fAM–10\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '9\u202fAM–10\u202fPM', 'date': '2023-10-18'}]}",4.4,14.0,Grocery store,"{'latitude': 40.443284899999995, 'longitude': -79.96972749999999}","['In-store shopping', 'Delivery']",,-79.96972749999999,40.443284899999995,Squirrel Hill
15,Giant Eagle Supermarket,ChIJ55g2E3DuNIgRy790OF-ioGM,0x8834ee70133698e7:0x63a0a25f3874bfcb,https://lh5.googleusercontent.com/p/AF1QipPq4rCB7GIcHPZLa0rPEENzZ8hRdQcBYSo6x_Lc=w189-h92-k-no,(412) 371-4614,"1705 S Braddock Ave, Pittsburgh, PA 15218",https://www.gianteagle.com/stores/pa/pittsburgh/edgewood-giant-eagle/1619,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '6\u202fAM–9\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '6\u202fAM–9\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '7\u202fAM–9\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '7\u202fAM–9\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '6\u202fAM–9\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '6\u202fAM–9\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '6\u202fAM–9\u202fPM', 'date': '2023-10-18'}]}",4.0,1117.0,Grocery store,"{'latitude': 40.4257165, 'longitude': -79.8865572}","['Curbside pickup', 'Delivery', 'In-store pickup', 'In-store shopping']",,-79.8865572,40.4257165,Squirrel Hill
1,Brookline Halal Market (القدس),ChIJDwFrGD73NIgRhaYSXyNxiYA,0x8834f73e186b010f:0x808971235f12a685,https://lh5.googleusercontent.com/p/AF1QipPLDj0Zp8nZmcjpp7F1C9Ml375Wa3Aim5hGjNZO=w167-h92-k-no,(412) 207-9485,"744 Brookline Blvd, Pittsburgh, PA 15226",http://brooklinehalalmarket.com/,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '8\u202fAM–8\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '8\u202fAM–8\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '8\u202fAM–8\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '8\u202fAM–8\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '8\u202fAM–8\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '8\u202fAM–8\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '8\u202fAM–8\u202fPM', 'date': '2023-10-18'}]}",5.0,7.0,Grocery store,"{'latitude': 40.393751699999996, 'longitude': -80.0205228}",['In-store shopping'],,-80.0205228,40.393751699999996,Brookline
2,Cogos Brookline,ChIJ9b1lbn33NIgRV4lbv-L8InY,0x8834f77d6e65bdf5:0x7622fce2bf5b8957,https://lh5.googleusercontent.com/p/AF1QipOrRaQ9ffJ0zEuLcpdW8Hi3ihahFULIntSWy7ui=w122-h92-k-no,,"1001 Brookline Blvd, Pittsburgh, PA 15226",undefined,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '7:30\u202fAM–9\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '7:30\u202fAM–9\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '7:30\u202fAM–9\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '7:30\u202fAM–9\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '7:30\u202fAM–9\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '7:30\u202fAM–9\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '7:30\u202fAM–9\u202fPM', 'date': '2023-10-18'}]}",3.1,18.0,Grocery store,"{'latitude': 40.3923419, 'longitude': -80.0172556}","['In-store shopping', 'Delivery']",,-80.0172556,40.3923419,Brookline
3,Las Palmas Pittsburgh #1,ChIJ9X4UwTr3NIgRvcIUkP2SQ6Q,0x8834f73ac1147ef5:0xa44392fd9014c2bd,https://lh5.googleusercontent.com/p/AF1QipN4PJ-UxlRytQn8-SeKYF3VpDO8NN-71KUaGM99=w122-h92-k-no,(412) 344-1131,"700 Brookline Blvd, Pittsburgh, PA 15226",undefined,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '9\u202fAM–9\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '9\u202fAM–9\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '9\u202fAM–9\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '9\u202fAM–9\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '9\u202fAM–9\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '9\u202fAM–9\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '9\u202fAM–9\u202fPM', 'date': '2023-10-18'}]}",4.5,1420.0,Mexican grocery store,"{'latitude': 40.3946018, 'longitude': -80.02171849999999}","['In-store shopping', 'Delivery']",,-80.02171849999999,40.3946018,Brookline
4,ALDI,ChIJIxkOk0n3NIgRM0lIRtIBwKA,0x8834f749930e1923:0xa0c001d246484933,https://lh5.googleusercontent.com/p/AF1QipPyDuuA2BuVCjf_qw5DXHvU62SjERkxtvloR_Ay=w124-h92-k-no,(855) 955-2534,"3089 Sussex Ave, Baldwin Township, PA 15226",https://stores.aldi.us/pa/baldwin-twp/3089-sussex-avenue,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '8:30\u202fAM–8\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '8:30\u202fAM–8\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '8:30\u202fAM–8\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '8:30\u202fAM–8\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '8:30\u202fAM–8\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '8:30\u202fAM–8\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '8:30\u202fAM–8\u202fPM', 'date': '2023-10-18'}]}",4.5,1253.0,Supermarket,"{'latitude': 40.3837715, 'longitude': -80.01417339999999}","['Curbside pickup', 'No-contact delivery', 'Delivery', 'In-store shopping']","Grocery store chain. Retail chain selling a range of grocery items, meat & dairy.",-80.01417339999999,40.3837715,Brookline
5,7-Eleven,ChIJGUVGcDH3NIgR49q1LDK9GXQ,0x8834f73170464519:0x7419bd322cb5dae3,https://lh5.googleusercontent.com/p/AF1QipPZjQF_vGk_B3lJDYTgM9Dx2j_nTMbHtMGuhJc1=w163-h92-k-no,(412) 561-2329,"1101 Brookline Blvd, Pittsburgh, PA 15226",https://www.7-eleven.com/locations/pa/pittsburgh/1101-brookline-blvd-36154,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': 'Open 24 hours', 'date': '2023-10-12'}, {'day': 'Friday', 'time': 'Open 24 hours', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': 'Open 24 hours', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': 'Open 24 hours', 'date': '2023-10-15'}, {'day': 'Monday', 'time': 'Open 24 hours', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': 'Open 24 hours', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': 'Open 24 hours', 'date': '2023-10-18'}]}",3.2,36.0,Convenience store,"{'latitude': 40.392375, 'longitude': -80.01491159999999}","['Delivery', 'In-store shopping', 'Same-day delivery']","Pit stop for snacks, drinks & sundries. Convenience chain offering grab-&-go bites & beverages, plus assorted newsstand items.",-80.01491159999999,40.392375,Brookline
6,IGA Market on Broadway,ChIJN7wvSNn2NIgRhNr8PnaYm_I,0x8834f6d9482fbc37:0xf29b98763efcda84,https://lh5.googleusercontent.com/p/AF1QipPDNTXikNYyXJkxQ7MayIIrD0-pS_y7y4usGcYV=w122-h92-k-no,(412) 388-5018,"1616 Broadway Ave, Pittsburgh, PA 15216",http://www.marketbroadway.iga.com/,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '9\u202fAM–9\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '9\u202fAM–10\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '9\u202fAM–10\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '9\u202fAM–9\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '9\u202fAM–9\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '9\u202fAM–9\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '9\u202fAM–9\u202fPM', 'date': '2023-10-18'}]}",4.1,543.0,Grocery store,"{'latitude': 40.4102642, 'longitude': -80.0248265}","['In-store shopping', 'Delivery']",,-80.0248265,40.4102642,Brookline
7,Jmart International Market,ChIJT3ZXahf3NIgRjRTGykAGTbg,0x8834f7176a57764f:0xb84d0640cac6148d,https://lh5.googleusercontent.com/p/AF1QipP1J4MwhoqhQdPn6A7CjYbsnE5mkN1PbAv3YgJ_=w80-h106-k-no,(412) 344-1605,"1435 Potomac Ave, Pittsburgh, PA 15216",https://m.facebook.com/Jmart-International-Market-789770034461137/,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '10\u202fAM–8\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '10\u202fAM–8\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '10\u202fAM–8\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '10\u202fAM–6\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '10\u202fAM–8\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '10\u202fAM–8\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '10\u202fAM–8\u202fPM', 'date': '2023-10-18'}]}",4.3,279.0,Grocery store,"{'latitude': 40.3958313, 'longitude': -80.0352073}","['In-store shopping', 'Delivery']",,-80.0352073,40.3958313,Brookline
