position,title,placeId,dataId,thumbnail,phone,address,website,description,workingHours,rating,reviews,type,gpsCoordinates,serviceOptions,longitude,latitude,area
11,Bangkok Balcony,ChIJl_sqJADyNIgRQFP6M9vWblk,0x8834f200242afb97:0x596ed6db33fa5340,https://lh5.googleusercontent.com/p/AF1QipPhr-xfSuRHAZ5rdIeOWr8e86YymrDRxZ6uma-K=w122-h92-k-no,(412) 521-0728,"5846 Forbes Ave, Pittsburgh, PA 15217",undefined,Upscale Thai fare in elegant digs. This elegant 2nd-floor choice offers upscale Thai cuisine with vegetarian dishes & a full bar.,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': 'Closed', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-18'}]}",4.2,353.0,Thai restaurant,"{'latitude': 40.437927599999995, 'longitude': -79.92115539999999}","['Curbside pickup', 'No-contact delivery', 'Delivery', 'Takeout', 'Dine-in']",-79.92115539999999,40.437927599999995,squirrel hill
12,Amazing Dumplings,ChIJ1-wrqeLzNIgRdgQMOvkxIuU,0x8834f3e2a92becd7:0xe52231f93a0c0476,https://lh5.googleusercontent.com/p/AF1QipNTrNhUL_GOtdmFJYaCXoxxtLrAu9rzJgk9dpHO=w122-h92-k-no,(412) 422-7188,"5882 Forbes Ave, Pittsburgh, PA 15217",https://amazingdumplings.com/,,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11\u202fAM–9\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11\u202fAM–9:30\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11\u202fAM–9:30\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '11\u202fAM–9\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '11\u202fAM–9\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': 'Closed', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11\u202fAM–9\u202fPM', 'date': '2023-10-18'}]}",4.5,76.0,Chinese restaurant,"{'latitude': 40.4378362, 'longitude': -79.9196805}","['Delivery', 'Takeout', 'Dine-in']",-79.9196805,40.4378362,squirrel hill
13,Waffallonia,ChIJleE02AHyNIgRsQ8kBSbcncw,0x8834f201d834e195:0xcc9ddc2605240fb1,https://lh5.googleusercontent.com/p/AF1QipMQ6EPtfcjySJW7m61BPJaDmdtffMZw12mu1ioi=w80-h106-k-no,(412) 521-4902,"1709 Murray Ave, Pittsburgh, PA 15217",http://www.waffallonia.com/,"Tiny storefront serving dessert waffles. Little outpost turning out Belgian sugar waffles topped with fruit, ice cream & other sweets.","{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '12–10\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '12–10\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '9\u202fAM–10\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '9\u202fAM–10\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '12–10\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '12–10\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '12–10\u202fPM', 'date': '2023-10-18'}]}",4.6,551.0,Dessert restaurant,"{'latitude': 40.4377054, 'longitude': -79.9228411}","['Delivery', 'Takeout', 'Dine-in']",-79.9228411,40.4377054,squirrel hill
14,Jian's Kitchen (品江南）,ChIJB8xjqIDzNIgRMVrLT_jOZfw,0x8834f380a863cc07:0xfc65cef84fcb5a31,https://lh5.googleusercontent.com/p/AF1QipNtIXge2pCz4Ynb8Uo5IS_7z-NYMFihkec4Qi0H=w122-h92-k-no,(412) 422-2888,"5824 Forbes Ave Lower Level, Pittsburgh, PA 15217",http://jianskitchen.com/,,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11\u202fAM–9:30\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '11\u202fAM–9:30\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': 'Closed', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '11\u202fAM–9:30\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11\u202fAM–9:30\u202fPM', 'date': '2023-10-18'}]}",4.2,153.0,Chinese restaurant,"{'latitude': 40.4378929, 'longitude': -79.9219131}","['Delivery', 'Takeout', 'Dine-in']",-79.9219131,40.4378929,squirrel hill
15,Thai & Noodle Outlet,ChIJ3TSizQHyNIgR7BC1XJB1zFE,0x8834f201cda234dd:0x51cc75905cb510ec,https://lh5.googleusercontent.com/p/AF1QipPjylf0QRM6NndLXNFT25y5ULh53JTjke71t9sQ=w122-h92-k-no,(412) 422-2003,"5813 Forbes Ave, Pittsburgh, PA 15217",http://thaiandnoodleoutlet.com/,"Unpretentious pick for Thai cooking. Low-key, basic eatery offering Thai standards such as assorted noodles, veggies & curries.","{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11\u202fAM–3\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11\u202fAM–3\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '12–9\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '11\u202fAM–3\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '11\u202fAM–3\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11\u202fAM–3\u202fPM', 'date': '2023-10-18'}]}",4.5,311.0,Thai restaurant,"{'latitude': 40.4381635, 'longitude': -79.9223683}","['Outdoor seating', 'Delivery', 'Takeout', 'Dine-in']",-79.9223683,40.4381635,squirrel hill
16,Upstreet Diner,ChIJh9UePtzzNIgRsWPBOb3uS9w,0x8834f3dc3e1ed587:0xdc4beebd39c163b1,https://lh5.googleusercontent.com/p/AF1QipOXuGix08smL5rnaBsfP0FTtjbrcvztWx1MLmEk=w122-h92-k-no,(412) 586-7374,"1711 Murray Ave, Pittsburgh, PA 15217",http://www.upstreetdiner.com/,,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '8\u202fAM–4\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '8\u202fAM–4\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '8\u202fAM–4\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '8\u202fAM–4\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '8\u202fAM–4\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '8\u202fAM–4\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '8\u202fAM–4\u202fPM', 'date': '2023-10-18'}]}",4.6,125.0,Breakfast restaurant,"{'latitude': 40.4375731, 'longitude': -79.922727}","['Outdoor seating', 'Curbside pickup', 'Delivery', 'Takeout', 'Dine-in']",-79.922727,40.4375731,squirrel hill
17,Dagu Rice Noodle,ChIJY8Gdq2_zNIgRAa39P2rQJc8,0x8834f36fab9dc163:0xcf25d06a3ffdad01,https://lh5.googleusercontent.com/p/AF1QipMVV4ZCF7MYEguqEMyacym-07OOwgtixIRLzVsp=w80-h106-k-no,(412) 504-4672,"5829 Forbes Ave, Pittsburgh, PA 15217",https://www.dagu-usa.com/order-location/,,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11:30\u202fAM–9\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11:30\u202fAM–10\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11:30\u202fAM–10\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '11:30\u202fAM–9\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': 'Closed', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '11:30\u202fAM–9\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11:30\u202fAM–9\u202fPM', 'date': '2023-10-18'}]}",4.0,114.0,Chinese restaurant,"{'latitude': 40.4382175, 'longitude': -79.92186029999999}","['No-contact delivery', 'Delivery', 'Takeout', 'Dine-in']",-79.92186029999999,40.4382175,squirrel hill
18,Uncle Sam's Submarines,ChIJ61wg0QHyNIgRGRmJqljJB1I,0x8834f201d1205ceb:0x5207c958aa891919,https://lh5.googleusercontent.com/p/AF1QipNSyoBRDBTab7KMFAEiZkpI5nBERtGw6qTzGCH-=w123-h92-k-no,(412) 521-7827,"5808 Forbes Ave, Pittsburgh, PA 15217",http://www.unclesamssubs.com/,"Sandwich shop with many options. Branch of a longtime local chain known for its range of sandwiches, from cheesesteaks to vegetarian.","{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11\u202fAM–8:30\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11\u202fAM–8:30\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11\u202fAM–8:30\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '11\u202fAM–6\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '11\u202fAM–8:30\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '11\u202fAM–8:30\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11\u202fAM–8:30\u202fPM', 'date': '2023-10-18'}]}",4.3,486.0,Sandwich shop,"{'latitude': 40.4379527, 'longitude': -79.9225611}","['Takeout', 'Dine-in', 'Delivery']",-79.9225611,40.4379527,squirrel hill
19,98K Hamburger,ChIJWzNtxbfzNIgRJXA9L56crus,0x8834f3b7c56d335b:0xebae9c9e2f3d7025,https://lh5.googleusercontent.com/p/AF1QipPg9Us5EWGEkqXi5Jd-Wa9YMEFFEeiqybxl4mur=w122-h92-k-no,(412) 258-1280,"5867 Forbes Ave, Pittsburgh, PA 15217",https://www.toasttab.com/98khamburger,,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11:30\u202fAM–9:30\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11:30\u202fAM–10\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11:30\u202fAM–10\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '11:30\u202fAM–9:30\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': 'Closed', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '11:30\u202fAM–9:30\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11:30\u202fAM–9:30\u202fPM', 'date': '2023-10-18'}]}",4.2,162.0,Hamburger restaurant,"{'latitude': 40.4382628, 'longitude': -79.9204194}","['No-contact delivery', 'Delivery', 'Takeout', 'Dine-in']",-79.9204194,40.4382628,squirrel hill
20,diners 2+1,ChIJc7q2DTvxNIgR5K3SOPvVKUw,0x8834f13b0db6ba73:0x4c29d5fb38d2ade4,https://lh5.googleusercontent.com/p/AF1QipPQL2R0z5VcGOSSN5TXmk03U0aqRx1nxthQYiDq=w122-h92-k-no,(412) 421-0345,"1722 Murray Ave, Pittsburgh, PA 15217",http://www.diners21.com/,,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11:45\u202fAM–3\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11:30\u202fAM–3\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11:30\u202fAM–3\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '12:15–3\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '11:45\u202fAM–3\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '11:45\u202fAM–3\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11:45\u202fAM–3\u202fPM', 'date': '2023-10-18'}]}",4.6,243.0,Authentic Japanese restaurant,"{'latitude': 40.4372107, 'longitude': -79.92312249999999}","['Delivery', 'Takeout', 'Dine-in']",-79.92312249999999,40.4372107,squirrel hill
1,Oak Hill Post,ChIJAUeyl8f3NIgRTwaDXz1HcGs,0x8834f7c797b24701:0x6b70473d5f83064f,https://lh5.googleusercontent.com/p/AF1QipMm3RAuSkiWTdwEqjaL5eE9XOQteGWlikVwKvPD=w163-h92-k-no,(412) 254-2970,"600 Brookline Blvd, Pittsburgh, PA 15226",http://www.oakhillpost.com/,"Comfort food in a laid-back restaurant. Burgers, sandwiches, breakfast dishes & other comfort food served in a relaxed eatery.","{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '7\u202fAM–2:30\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '7\u202fAM–2:30\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '7\u202fAM–2:30\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '7\u202fAM–2:30\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': 'Closed', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': 'Closed', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '7\u202fAM–2:30\u202fPM', 'date': '2023-10-18'}]}",4.9,350.0,Restaurant,"{'latitude': 40.3952469, 'longitude': -80.02243469999999}",['Identifies as women-owned'],-80.02243469999999,40.3952469,brookline
